pixel_ID,lat,lon,utm_n,utm_e,population
96,36.60159496,-121.7156088,4051445.282,614876.3333,0
97,36.60147395,-121.7044307,4051445.282,615876.3333,0
98,36.6013519,-121.6932527,4051445.282,616876.3333,0
99,36.60122879,-121.6820748,4051445.282,617876.3333,0
100,36.60110464,-121.6708969,4051445.282,618876.3333,0
101,36.60097944,-121.6597191,4051445.282,619876.3333,0
102,36.60085319,-121.6485414,4051445.282,620876.3333,0
103,36.60072589,-121.6373637,4051445.282,621876.3333,0
104,36.60059755,-121.6261861,4051445.282,622876.3333,0
105,36.60046815,-121.6150086,4051445.282,623876.3333,0
106,36.60033771,-121.6038312,4051445.282,624876.3333,0
107,36.60020622,-121.5926538,4051445.282,625876.3333,0
108,36.60007369,-121.5814765,4051445.282,626876.3333,0
109,36.5999401,-121.5702993,4051445.282,627876.3333,0
110,36.59980547,-121.5591221,4051445.282,628876.3333,0
111,36.59966979,-121.547945,4051445.282,629876.3333,0
112,36.59953306,-121.536768,4051445.282,630876.3333,0
113,36.59939529,-121.5255911,4051445.282,631876.3333,0
114,36.59925646,-121.5144143,4051445.282,632876.3333,0
115,36.59911659,-121.5032375,4051445.282,633876.3333,0
116,36.59897568,-121.4920608,4051445.282,634876.3333,0
117,36.59883371,-121.4808842,4051445.282,635876.3333,0
118,36.5986907,-121.4697076,4051445.282,636876.3333,0
119,36.59854663,-121.4585311,4051445.282,637876.3333,0
120,36.59840153,-121.4473548,4051445.282,638876.3333,0
121,36.59825537,-121.4361785,4051445.282,639876.3333,0
122,36.59810816,-121.4250022,4051445.282,640876.3333,0
123,36.59795991,-121.4138261,4051445.282,641876.3333,0
124,36.59781061,-121.40265,4051445.282,642876.3333,0
125,36.59766027,-121.391474,4051445.282,643876.3333,0
126,36.59750887,-121.3802982,4051445.282,644876.3333,0
127,36.59735643,-121.3691223,4051445.282,645876.3333,0
128,36.59720294,-121.3579466,4051445.282,646876.3333,0
129,36.59704841,-121.346771,4051445.282,647876.3333,0
130,36.59689282,-121.3355954,4051445.282,648876.3333,0
131,36.59673619,-121.3244199,4051445.282,649876.3333,0
132,36.59657851,-121.3132446,4051445.282,650876.3333,0
133,36.59641979,-121.3020693,4051445.282,651876.3333,0
134,36.59626002,-121.290894,4051445.282,652876.3333,0
135,36.5960992,-121.2797189,4051445.282,653876.3333,0
136,36.59593733,-121.2685439,4051445.282,654876.3333,0
137,36.59577442,-121.2573689,4051445.282,655876.3333,0
138,36.59561046,-121.2461941,4051445.282,656876.3333,0
139,36.59544545,-121.2350193,4051445.282,657876.3333,0
140,36.59527939,-121.2238447,4051445.282,658876.3333,0
141,36.59511229,-121.2126701,4051445.282,659876.3333,0
142,36.59494414,-121.2014956,4051445.282,660876.3333,0
143,36.59477494,-121.1903212,4051445.282,661876.3333,0
144,36.61734467,-122.7889026,4052445.282,518876.3333,0
145,36.61732433,-122.7777195,4052445.282,519876.3333,0
146,36.61730295,-122.7665364,4052445.282,520876.3333,0
147,36.61728051,-122.7553533,4052445.282,521876.3333,0
148,36.61725703,-122.7441702,4052445.282,522876.3333,0
149,36.6172325,-122.7329872,4052445.282,523876.3333,0
150,36.61720691,-122.7218041,4052445.282,524876.3333,0
151,36.61718028,-122.7106211,4052445.282,525876.3333,0
152,36.6171526,-122.6994381,4052445.282,526876.3333,0
153,36.61712386,-122.6882551,4052445.282,527876.3333,0
154,36.61709408,-122.6770721,4052445.282,528876.3333,0
155,36.61706325,-122.6658891,4052445.282,529876.3333,0
156,36.61703137,-122.6547062,4052445.282,530876.3333,0
157,36.61699844,-122.6435233,4052445.282,531876.3333,0
158,36.61696446,-122.6323403,4052445.282,532876.3333,0
159,36.61692943,-122.6211574,4052445.282,533876.3333,0
160,36.61689336,-122.6099746,4052445.282,534876.3333,0
161,36.61685623,-122.5987917,4052445.282,535876.3333,0
162,36.61681805,-122.5876089,4052445.282,536876.3333,0
163,36.61677882,-122.5764261,4052445.282,537876.3333,0
164,36.61673855,-122.5652433,4052445.282,538876.3333,0
165,36.61669722,-122.5540605,4052445.282,539876.3333,0
166,36.61665485,-122.5428778,4052445.282,540876.3333,0
167,36.61661142,-122.5316951,4052445.282,541876.3333,0
168,36.61656695,-122.5205124,4052445.282,542876.3333,0
169,36.61652143,-122.5093297,4052445.282,543876.3333,0
170,36.61647486,-122.4981471,4052445.282,544876.3333,0
171,36.61642723,-122.4869644,4052445.282,545876.3333,0
172,36.61637856,-122.4757818,4052445.282,546876.3333,0
173,36.61632884,-122.4645993,4052445.282,547876.3333,0
174,36.61627807,-122.4534167,4052445.282,548876.3333,0
175,36.61622625,-122.4422342,4052445.282,549876.3333,0
176,36.61617339,-122.4310517,4052445.282,550876.3333,0
177,36.61611947,-122.4198693,4052445.282,551876.3333,0
178,36.6160645,-122.4086869,4052445.282,552876.3333,0
179,36.61600848,-122.3975045,4052445.282,553876.3333,0
180,36.61595142,-122.3863221,4052445.282,554876.3333,0
181,36.6158933,-122.3751398,4052445.282,555876.3333,0
182,36.61583414,-122.3639575,4052445.282,556876.3333,0
183,36.61577393,-122.3527752,4052445.282,557876.3333,0
184,36.61571266,-122.341593,4052445.282,558876.3333,0
185,36.61565035,-122.3304108,4052445.282,559876.3333,0
186,36.61558699,-122.3192286,4052445.282,560876.3333,0
187,36.61552258,-122.3080465,4052445.282,561876.3333,0
188,36.61545712,-122.2968644,4052445.282,562876.3333,0
189,36.61539061,-122.2856824,4052445.282,563876.3333,0
190,36.61532305,-122.2745004,4052445.282,564876.3333,0
191,36.61525445,-122.2633184,4052445.282,565876.3333,0
192,36.61518479,-122.2521364,4052445.282,566876.3333,0
193,36.61511408,-122.2409545,4052445.282,567876.3333,0
194,36.61504233,-122.2297727,4052445.282,568876.3333,0
195,36.61496953,-122.2185908,4052445.282,569876.3333,0
196,36.61489567,-122.2074091,4052445.282,570876.3333,0
197,36.61482077,-122.1962273,4052445.282,571876.3333,0
198,36.61474482,-122.1850456,4052445.282,572876.3333,0
199,36.61466782,-122.173864,4052445.282,573876.3333,0
200,36.61458977,-122.1626823,4052445.282,574876.3333,0
201,36.61451067,-122.1515008,4052445.282,575876.3333,0
202,36.61443052,-122.1403192,4052445.282,576876.3333,0
203,36.61434933,-122.1291378,4052445.282,577876.3333,0
204,36.61426708,-122.1179563,4052445.282,578876.3333,0
205,36.61418379,-122.1067749,4052445.282,579876.3333,0
206,36.61409944,-122.0955936,4052445.282,580876.3333,0
207,36.61401405,-122.0844123,4052445.282,581876.3333,0
208,36.61392761,-122.073231,4052445.282,582876.3333,0
209,36.61384012,-122.0620498,4052445.282,583876.3333,0
210,36.61375158,-122.0508687,4052445.282,584876.3333,0
211,36.61366199,-122.0396876,4052445.282,585876.3333,0
212,36.61357136,-122.0285065,4052445.282,586876.3333,0
213,36.61347967,-122.0173255,4052445.282,587876.3333,0
214,36.61338693,-122.0061445,4052445.282,588876.3333,0
215,36.61329315,-121.9949636,4052445.282,589876.3333,0
216,36.61319832,-121.9837828,4052445.282,590876.3333,0
217,36.61310244,-121.972602,4052445.282,591876.3333,0
218,36.61300551,-121.9614212,4052445.282,592876.3333,0
219,36.61290753,-121.9502405,4052445.282,593876.3333,0
220,36.6128085,-121.9390599,4052445.282,594876.3333,0
221,36.61270842,-121.9278793,4052445.282,595876.3333,0
222,36.6126073,-121.9166988,4052445.282,596876.3333,0
223,36.61250512,-121.9055183,4052445.282,597876.3333,0
224,36.6124019,-121.8943379,4052445.282,598876.3333,0
225,36.61229763,-121.8831575,4052445.282,599876.3333,0
226,36.61219231,-121.8719772,4052445.282,600876.3333,0
227,36.61208594,-121.860797,4052445.282,601876.3333,0
228,36.61197852,-121.8496168,4052445.282,602876.3333,0
229,36.61187005,-121.8384366,4052445.282,603876.3333,0
230,36.61176054,-121.8272566,4052445.282,604876.3333,0
231,36.61164998,-121.8160766,4052445.282,605876.3333,0
232,36.61153836,-121.8048966,4052445.282,606876.3333,0
233,36.6114257,-121.7937167,4052445.282,607876.3333,0
234,36.61131199,-121.7825369,4052445.282,608876.3333,0
235,36.61119724,-121.7713572,4052445.282,609876.3333,0
236,36.61108143,-121.7601775,4052445.282,610876.3333,0
237,36.61096457,-121.7489978,4052445.282,611876.3333,0
238,36.61084667,-121.7378183,4052445.282,612876.3333,0
239,36.61072772,-121.7266388,4052445.282,613876.3333,0
240,36.61060772,-121.7154593,4052445.282,614876.3333,0
241,36.61048667,-121.70428,4052445.282,615876.3333,0
242,36.61036457,-121.6931007,4052445.282,616876.3333,0
243,36.61024143,-121.6819214,4052445.282,617876.3333,0
244,36.61011724,-121.6707423,4052445.282,618876.3333,0
245,36.60999199,-121.6595632,4052445.282,619876.3333,0
246,36.6098657,-121.6483841,4052445.282,620876.3333,0
247,36.60973836,-121.6372052,4052445.282,621876.3333,0
248,36.60960998,-121.6260263,4052445.282,622876.3333,0
249,36.60948054,-121.6148475,4052445.282,623876.3333,0
250,36.60935006,-121.6036687,4052445.282,624876.3333,0
251,36.60921853,-121.59249,4052445.282,625876.3333,0
252,36.60908595,-121.5813114,4052445.282,626876.3333,0
253,36.60895232,-121.5701329,4052445.282,627876.3333,0
254,36.60881764,-121.5589545,4052445.282,628876.3333,0
255,36.60868192,-121.5477761,4052445.282,629876.3333,0
256,36.60854515,-121.5365978,4052445.282,630876.3333,0
257,36.60840733,-121.5254195,4052445.282,631876.3333,0
258,36.60826846,-121.5142414,4052445.282,632876.3333,0
259,36.60812854,-121.5030633,4052445.282,633876.3333,0
260,36.60798758,-121.4918853,4052445.282,634876.3333,0
261,36.60784556,-121.4807074,4052445.282,635876.3333,0
262,36.6077025,-121.4695296,4052445.282,636876.3333,0
263,36.6075584,-121.4583518,4052445.282,637876.3333,0
264,36.60741324,-121.4471741,4052445.282,638876.3333,0
265,36.60726703,-121.4359965,4052445.282,639876.3333,0
266,36.60711978,-121.424819,4052445.282,640876.3333,0
267,36.60697148,-121.4136415,4052445.282,641876.3333,0
268,36.60682213,-121.4024642,4052445.282,642876.3333,0
269,36.60667174,-121.3912869,4052445.282,643876.3333,0
270,36.6065203,-121.3801097,4052445.282,644876.3333,0
271,36.6063678,-121.3689326,4052445.282,645876.3333,0
272,36.60621427,-121.3577556,4052445.282,646876.3333,0
273,36.60605968,-121.3465786,4052445.282,647876.3333,0
274,36.60590404,-121.3354018,4052445.282,648876.3333,0
275,36.60574736,-121.324225,4052445.282,649876.3333,0
276,36.60558963,-121.3130483,4052445.282,650876.3333,0
277,36.60543086,-121.3018717,4052445.282,651876.3333,0
278,36.60527103,-121.2906952,4052445.282,652876.3333,0
279,36.60511016,-121.2795188,4052445.282,653876.3333,0
280,36.60494824,-121.2683425,4052445.282,654876.3333,0
281,36.60478527,-121.2571662,4052445.282,655876.3333,0
282,36.60462126,-121.2459901,4052445.282,656876.3333,0
283,36.60445619,-121.234814,4052445.282,657876.3333,0
284,36.60429009,-121.223638,4052445.282,658876.3333,0
285,36.60412293,-121.2124621,4052445.282,659876.3333,0
286,36.60395472,-121.2012864,4052445.282,660876.3333,0
287,36.60378547,-121.1901107,4052445.282,661876.3333,0
288,36.62635961,-122.788878,4053445.282,518876.3333,0
289,36.62633927,-122.7776936,4053445.282,519876.3333,0
290,36.62631788,-122.7665092,4053445.282,520876.3333,0
291,36.62629544,-122.7553248,4053445.282,521876.3333,0
292,36.62627194,-122.7441404,4053445.282,522876.3333,0
293,36.6262474,-122.7329561,4053445.282,523876.3333,0
294,36.62622181,-122.7217717,4053445.282,524876.3333,0
295,36.62619517,-122.7105874,4053445.282,525876.3333,0
296,36.62616748,-122.6994031,4053445.282,526876.3333,0
297,36.62613873,-122.6882188,4053445.282,527876.3333,0
298,36.62610894,-122.6770345,4053445.282,528876.3333,0
299,36.6260781,-122.6658502,4053445.282,529876.3333,0
300,36.62604621,-122.654666,4053445.282,530876.3333,0
301,36.62601327,-122.6434817,4053445.282,531876.3333,0
302,36.62597928,-122.6322975,4053445.282,532876.3333,0
303,36.62594424,-122.6211133,4053445.282,533876.3333,0
304,36.62590815,-122.6099292,4053445.282,534876.3333,0
305,36.62587101,-122.598745,4053445.282,535876.3333,0
306,36.62583282,-122.5875609,4053445.282,536876.3333,0
307,36.62579358,-122.5763768,4053445.282,537876.3333,0
308,36.62575329,-122.5651927,4053445.282,538876.3333,0
309,36.62571195,-122.5540086,4053445.282,539876.3333,0
310,36.62566957,-122.5428246,4053445.282,540876.3333,0
311,36.62562613,-122.5316405,4053445.282,541876.3333,0
312,36.62558164,-122.5204565,4053445.282,542876.3333,0
313,36.6255361,-122.5092726,4053445.282,543876.3333,0
314,36.62548951,-122.4980886,4053445.282,544876.3333,0
315,36.62544188,-122.4869047,4053445.282,545876.3333,0
316,36.62539319,-122.4757208,4053445.282,546876.3333,0
317,36.62534345,-122.4645369,4053445.282,547876.3333,0
318,36.62529267,-122.4533531,4053445.282,548876.3333,0
319,36.62524083,-122.4421693,4053445.282,549876.3333,0
320,36.62518795,-122.4309855,4053445.282,550876.3333,0
321,36.62513401,-122.4198017,4053445.282,551876.3333,0
322,36.62507903,-122.408618,4053445.282,552876.3333,0
323,36.62502299,-122.3974343,4053445.282,553876.3333,0
324,36.62496591,-122.3862507,4053445.282,554876.3333,0
325,36.62490777,-122.375067,4053445.282,555876.3333,0
326,36.62484859,-122.3638834,4053445.282,556876.3333,0
327,36.62478836,-122.3526999,4053445.282,557876.3333,0
328,36.62472707,-122.3415163,4053445.282,558876.3333,0
329,36.62466474,-122.3303328,4053445.282,559876.3333,0
330,36.62460136,-122.3191494,4053445.282,560876.3333,0
331,36.62453693,-122.307966,4053445.282,561876.3333,0
332,36.62447145,-122.2967826,4053445.282,562876.3333,0
333,36.62440492,-122.2855992,4053445.282,563876.3333,0
334,36.62433734,-122.2744159,4053445.282,564876.3333,0
335,36.62426871,-122.2632326,4053445.282,565876.3333,0
336,36.62419903,-122.2520494,4053445.282,566876.3333,0
337,36.6241283,-122.2408662,4053445.282,567876.3333,0
338,36.62405652,-122.229683,4053445.282,568876.3333,0
339,36.62398369,-122.2184999,4053445.282,569876.3333,0
340,36.62390982,-122.2073168,4053445.282,570876.3333,0
341,36.62383489,-122.1961337,4053445.282,571876.3333,0
342,36.62375891,-122.1849507,4053445.282,572876.3333,0
343,36.62368189,-122.1737678,4053445.282,573876.3333,0
344,36.62360381,-122.1625849,4053445.282,574876.3333,0
345,36.62352469,-122.151402,4053445.282,575876.3333,0
346,36.62344452,-122.1402192,4053445.282,576876.3333,0
347,36.62336329,-122.1290364,4053445.282,577876.3333,0
348,36.62328102,-122.1178536,4053445.282,578876.3333,0
349,36.6231977,-122.1066709,4053445.282,579876.3333,0
350,36.62311333,-122.0954883,4053445.282,580876.3333,0
351,36.62302791,-122.0843057,4053445.282,581876.3333,0
352,36.62294144,-122.0731231,4053445.282,582876.3333,0
353,36.62285392,-122.0619406,4053445.282,583876.3333,0
354,36.62276535,-122.0507582,4053445.282,584876.3333,0
355,36.62267573,-122.0395757,4053445.282,585876.3333,0
356,36.62258507,-122.0283934,4053445.282,586876.3333,0
357,36.62249335,-122.0172111,4053445.282,587876.3333,0
358,36.62240058,-122.0060288,4053445.282,588876.3333,0
359,36.62230677,-121.9948466,4053445.282,589876.3333,0
360,36.62221191,-121.9836645,4053445.282,590876.3333,0
361,36.62211599,-121.9724824,4053445.282,591876.3333,0
362,36.62201903,-121.9613003,4053445.282,592876.3333,0
363,36.62192102,-121.9501183,4053445.282,593876.3333,0
364,36.62182196,-121.9389364,4053445.282,594876.3333,0
365,36.62172185,-121.9277545,4053445.282,595876.3333,0
366,36.62162069,-121.9165726,4053445.282,596876.3333,0
367,36.62151848,-121.9053909,4053445.282,597876.3333,0
368,36.62141523,-121.8942091,4053445.282,598876.3333,0
369,36.62131092,-121.8830275,4053445.282,599876.3333,0
370,36.62120557,-121.8718459,4053445.282,600876.3333,0
371,36.62109916,-121.8606643,4053445.282,601876.3333,0
372,36.62099171,-121.8494828,4053445.282,602876.3333,0
373,36.62088321,-121.8383014,4053445.282,603876.3333,0
374,36.62077366,-121.82712,4053445.282,604876.3333,0
375,36.62066306,-121.8159387,4053445.282,605876.3333,0
376,36.62055141,-121.8047575,4053445.282,606876.3333,0
377,36.62043871,-121.7935763,4053445.282,607876.3333,0
378,36.62032497,-121.7823952,4053445.282,608876.3333,0
379,36.62021017,-121.7712141,4053445.282,609876.3333,0
380,36.62009433,-121.7600331,4053445.282,610876.3333,0
381,36.61997743,-121.7488522,4053445.282,611876.3333,0
382,36.61985949,-121.7376713,4053445.282,612876.3333,0
383,36.6197405,-121.7264905,4053445.282,613876.3333,0
384,36.61962046,-121.7153098,4053445.282,614876.3333,0
385,36.61949937,-121.7041291,4053445.282,615876.3333,0
386,36.61937724,-121.6929485,4053445.282,616876.3333,0
387,36.61925405,-121.681768,4053445.282,617876.3333,0
388,36.61912982,-121.6705875,4053445.282,618876.3333,0
389,36.61900453,-121.6594071,4053445.282,619876.3333,0
390,36.6188782,-121.6482268,4053445.282,620876.3333,0
391,36.61875082,-121.6370465,4053445.282,621876.3333,0
392,36.61862239,-121.6258663,4053445.282,622876.3333,0
393,36.61849292,-121.6146862,4053445.282,623876.3333,0
394,36.61836239,-121.6035062,4053445.282,624876.3333,0
395,36.61823082,-121.5923262,4053445.282,625876.3333,0
396,36.61809819,-121.5811463,4053445.282,626876.3333,0
397,36.61796452,-121.5699665,4053445.282,627876.3333,0
398,36.6178298,-121.5587867,4053445.282,628876.3333,0
399,36.61769403,-121.547607,4053445.282,629876.3333,0
400,36.61755722,-121.5364274,4053445.282,630876.3333,0
401,36.61741935,-121.5252479,4053445.282,631876.3333,0
402,36.61728044,-121.5140685,4053445.282,632876.3333,0
403,36.61714047,-121.5028891,4053445.282,633876.3333,0
404,36.61699946,-121.4917098,4053445.282,634876.3333,0
405,36.6168574,-121.4805306,4053445.282,635876.3333,0
406,36.6167143,-121.4693514,4053445.282,636876.3333,0
407,36.61657014,-121.4581724,4053445.282,637876.3333,0
408,36.61642494,-121.4469934,4053445.282,638876.3333,0
409,36.61627869,-121.4358145,4053445.282,639876.3333,0
410,36.61613139,-121.4246356,4053445.282,640876.3333,0
411,36.61598304,-121.4134569,4053445.282,641876.3333,0
412,36.61583364,-121.4022782,4053445.282,642876.3333,0
413,36.6156832,-121.3910997,4053445.282,643876.3333,0
414,36.6155317,-121.3799212,4053445.282,644876.3333,0
415,36.61537916,-121.3687428,4053445.282,645876.3333,0
416,36.61522557,-121.3575644,4053445.282,646876.3333,0
417,36.61507094,-121.3463862,4053445.282,647876.3333,0
418,36.61491525,-121.335208,4053445.282,648876.3333,0
419,36.61475852,-121.32403,4053445.282,649876.3333,0
420,36.61460074,-121.312852,4053445.282,650876.3333,0
421,36.61444191,-121.3016741,4053445.282,651876.3333,0
422,36.61428203,-121.2904963,4053445.282,652876.3333,0
423,36.61412111,-121.2793186,4053445.282,653876.3333,0
424,36.61395913,-121.2681409,4053445.282,654876.3333,0
425,36.61379611,-121.2569634,4053445.282,655876.3333,0
426,36.61363204,-121.2457859,4053445.282,656876.3333,0
427,36.61346693,-121.2346086,4053445.282,657876.3333,0
428,36.61330076,-121.2234313,4053445.282,658876.3333,0
429,36.61313355,-121.2122541,4053445.282,659876.3333,0
430,36.61296529,-121.201077,4053445.282,660876.3333,0
431,36.61279599,-121.1899,4053445.282,661876.3333,0
432,36.63537454,-122.7888534,4054445.282,518876.3333,0
433,36.63535419,-122.7776677,4054445.282,519876.3333,0
434,36.63533279,-122.766482,4054445.282,520876.3333,0
435,36.63531034,-122.7552963,4054445.282,521876.3333,0
436,36.63528684,-122.7441106,4054445.282,522876.3333,0
437,36.63526229,-122.732925,4054445.282,523876.3333,0
438,36.63523669,-122.7217393,4054445.282,524876.3333,0
439,36.63521004,-122.7105537,4054445.282,525876.3333,0
440,36.63518234,-122.6993681,4054445.282,526876.3333,0
441,36.63515359,-122.6881825,4054445.282,527876.3333,0
442,36.63512379,-122.6769969,4054445.282,528876.3333,0
443,36.63509294,-122.6658113,4054445.282,529876.3333,0
444,36.63506104,-122.6546257,4054445.282,530876.3333,0
445,36.63502809,-122.6434402,4054445.282,531876.3333,0
446,36.63499409,-122.6322547,4054445.282,532876.3333,0
447,36.63495903,-122.6210692,4054445.282,533876.3333,0
448,36.63492293,-122.6098837,4054445.282,534876.3333,0
449,36.63488578,-122.5986983,4054445.282,535876.3333,0
450,36.63484758,-122.5875128,4054445.282,536876.3333,0
451,36.63480833,-122.5763274,4054445.282,537876.3333,0
452,36.63476802,-122.565142,4054445.282,538876.3333,0
453,36.63472667,-122.5539566,4054445.282,539876.3333,0
454,36.63468427,-122.5427713,4054445.282,540876.3333,0
455,36.63464082,-122.531586,4054445.282,541876.3333,0
456,36.63459631,-122.5204007,4054445.282,542876.3333,0
457,36.63455076,-122.5092154,4054445.282,543876.3333,0
458,36.63450416,-122.4980302,4054445.282,544876.3333,0
459,36.63445651,-122.4868449,4054445.282,545876.3333,0
460,36.6344078,-122.4756597,4054445.282,546876.3333,0
461,36.63435805,-122.4644746,4054445.282,547876.3333,0
462,36.63430725,-122.4532894,4054445.282,548876.3333,0
463,36.63425539,-122.4421043,4054445.282,549876.3333,0
464,36.63420249,-122.4309192,4054445.282,550876.3333,0
465,36.63414854,-122.4197342,4054445.282,551876.3333,0
466,36.63409354,-122.4085491,4054445.282,552876.3333,0
467,36.63403748,-122.3973641,4054445.282,553876.3333,0
468,36.63398038,-122.3861792,4054445.282,554876.3333,0
469,36.63392223,-122.3749942,4054445.282,555876.3333,0
470,36.63386302,-122.3638093,4054445.282,556876.3333,0
471,36.63380277,-122.3526245,4054445.282,557876.3333,0
472,36.63374147,-122.3414396,4054445.282,558876.3333,0
473,36.63367912,-122.3302548,4054445.282,559876.3333,0
474,36.63361571,-122.3190701,4054445.282,560876.3333,0
475,36.63355126,-122.3078853,4054445.282,561876.3333,0
476,36.63348576,-122.2967007,4054445.282,562876.3333,0
477,36.63341921,-122.285516,4054445.282,563876.3333,0
478,36.6333516,-122.2743314,4054445.282,564876.3333,0
479,36.63328295,-122.2631468,4054445.282,565876.3333,0
480,36.63321325,-122.2519622,4054445.282,566876.3333,0
481,36.6331425,-122.2407777,4054445.282,567876.3333,0
