pixel_ID,lat,lon,utm_n,utm_e,population,active
86,-23.93368346,-46.22134265,7352578.114,375706.0268,0,N
87,-23.93376125,-46.21151812,7352578.114,376706.0268,0,N
88,-23.93383841,-46.20169355,7352578.114,377706.0268,0,N
89,-23.93391494,-46.19186894,7352578.114,378706.0268,0,N
90,-23.93399084,-46.18204429,7352578.114,379706.0268,0,N
91,-23.93406612,-46.1722196,7352578.114,380706.0268,0,N
92,-23.93414077,-46.16239486,7352578.114,381706.0268,0,N
93,-23.93421479,-46.15257009,7352578.114,382706.0268,0,N
94,-23.93428819,-46.14274528,7352578.114,383706.0268,0,N
95,-23.93436095,-46.13292043,7352578.114,384706.0268,0,N
96,-23.93443309,-46.12309554,7352578.114,385706.0268,0,N
97,-23.9345046,-46.11327061,7352578.114,386706.0268,0,N
98,-23.93457548,-46.10344565,7352578.114,387706.0268,0,N
99,-23.93464573,-46.09362064,7352578.114,388706.0268,0,N
100,-23.91561934,-47.06591614,7353578.114,289706.0268,0,N
101,-23.91575103,-47.05609712,7353578.114,290706.0268,0,N
102,-23.91588209,-47.04627803,7353578.114,291706.0268,0,N
103,-23.91601253,-47.03645888,7353578.114,292706.0268,0,N
104,-23.91614233,-47.02663965,7353578.114,293706.0268,0,N
105,-23.91627152,-47.01682035,7353578.114,294706.0268,0,N
106,-23.91640007,-47.00700099,7353578.114,295706.0268,0,N
107,-23.916528,-46.99718155,7353578.114,296706.0268,0,N
108,-23.9166553,-46.98736205,7353578.114,297706.0268,0,Y
109,-23.91678198,-46.97754248,7353578.114,298706.0268,0,N
110,-23.91690803,-46.96772284,7353578.114,299706.0268,0,N
111,-23.91703345,-46.95790314,7353578.114,300706.0268,0,N
112,-23.91715824,-46.94808336,7353578.114,301706.0268,0,N
113,-23.91728241,-46.93826352,7353578.114,302706.0268,0,N
114,-23.91740596,-46.92844362,7353578.114,303706.0268,0,N
115,-23.91752887,-46.91862365,7353578.114,304706.0268,0,N
116,-23.91765116,-46.90880361,7353578.114,305706.0268,0,N
117,-23.91777282,-46.8989835,7353578.114,306706.0268,0,N
118,-23.91789386,-46.88916334,7353578.114,307706.0268,0,N
119,-23.91801427,-46.8793431,7353578.114,308706.0268,0,N
120,-23.91813405,-46.86952281,7353578.114,309706.0268,0,N
121,-23.91825321,-46.85970245,7353578.114,310706.0268,0,N
122,-23.91837173,-46.84988202,7353578.114,311706.0268,0,N
123,-23.91848964,-46.84006153,7353578.114,312706.0268,0,N
124,-23.91860691,-46.83024098,7353578.114,313706.0268,0,N
125,-23.91872356,-46.82042037,7353578.114,314706.0268,0,N
126,-23.91883958,-46.81059969,7353578.114,315706.0268,0,N
127,-23.91895497,-46.80077895,7353578.114,316706.0268,0,N
128,-23.91906974,-46.79095815,7353578.114,317706.0268,0,N
