pixel_ID,lat,lon,utm_n,utm_e,population
9652,37.2122119475,-122.742175359,4118445.28179,522876.333318,0
9653,37.2121868805,-122.730905104,4118445.28179,523876.333318,0
9654,37.2121607412,-122.719634863,4118445.28179,524876.333318,0
9655,37.2121335297,-122.708364637,4118445.28179,525876.333318,0
9656,37.2121052458,-122.697094427,4118445.28179,526876.333318,0
9657,37.2120758897,-122.685824233,4118445.28179,527876.333318,0
9658,37.2120454613,-122.674554055,4118445.28179,528876.333318,0
9659,37.2120139606,-122.663283895,4118445.28179,529876.333318,0
9660,37.2119813877,-122.652013752,4118445.28179,530876.333318,0
9661,37.2119477425,-122.640743628,4118445.28179,531876.333318,0
9662,37.2119130251,-122.629473522,4118445.28179,532876.333318,0
9663,37.2118772355,-122.618203437,4118445.28179,533876.333318,0
9664,37.2118403736,-122.606933371,4118445.28179,534876.333318,0
9665,37.2118024394,-122.595663326,4118445.28179,535876.333318,0
9666,37.211763433,-122.584393303,4118445.28179,536876.333318,0
9667,37.2117233545,-122.573123301,4118445.28179,537876.333318,0
9668,37.2116822037,-122.561853323,4118445.28179,538876.333318,0
9669,37.2116399807,-122.550583367,4118445.28179,539876.333318,0
9670,37.2115966855,-122.539313435,4118445.28179,540876.333318,0
9671,37.2115523181,-122.528043527,4118445.28179,541876.333318,0
9672,37.2115068785,-122.516773645,4118445.28179,542876.333318,0
9673,37.2114603667,-122.505503788,4118445.28179,543876.333318,0
9674,37.2114127828,-122.494233957,4118445.28179,544876.333318,0
9675,37.2113641267,-122.482964153,4118445.28179,545876.333318,0
9676,37.2113143984,-122.471694376,4118445.28179,546876.333318,0
9677,37.2112635981,-122.460424627,4118445.28179,547876.333318,0
9678,37.2112117255,-122.449154907,4118445.28179,548876.333318,0
9679,37.2111587809,-122.437885215,4118445.28179,549876.333318,0
9680,37.2111047641,-122.426615554,4118445.28179,550876.333318,0
9681,37.2110496752,-122.415345922,4118445.28179,551876.333318,0
9682,37.2109935142,-122.404076322,4118445.28179,552876.333318,0
9683,37.2109362811,-122.392806753,4118445.28179,553876.333318,0
9684,37.2108779759,-122.381537217,4118445.28179,554876.333318,0
9685,37.2108185987,-122.370267713,4118445.28179,555876.333318,0
9686,37.2107581494,-122.358998242,4118445.28179,556876.333318,0
9687,37.210696628,-122.347728805,4118445.28179,557876.333318,0
9688,37.2106340346,-122.336459403,4118445.28179,558876.333318,0
9689,37.2105703691,-122.325190035,4118445.28179,559876.333318,0
9690,37.2105056317,-122.313920704,4118445.28179,560876.333318,0
9691,37.2104398222,-122.302651408,4118445.28179,561876.333318,0
9692,37.2103729407,-122.29138215,4118445.28179,562876.333318,0
9693,37.2103049872,-122.280112929,4118445.28179,563876.333318,0
9694,37.2102359618,-122.268843746,4118445.28179,564876.333318,0
9695,37.2101658643,-122.257574601,4118445.28179,565876.333318,0
9696,37.2100946949,-122.246305496,4118445.28179,566876.333318,0
9697,37.2100224536,-122.235036431,4118445.28179,567876.333318,0
9698,37.2099491403,-122.223767406,4118445.28179,568876.333318,0
9699,37.2098747551,-122.212498422,4118445.28179,569876.333318,0
9700,37.209799298,-122.20122948,4118445.28179,570876.333318,0
9701,37.209722769,-122.18996058,4118445.28179,571876.333318,0
9702,37.2096451682,-122.178691723,4118445.28179,572876.333318,0
9703,37.2095664954,-122.167422909,4118445.28179,573876.333318,0
9704,37.2094867508,-122.15615414,4118445.28179,574876.333318,0
9705,37.2094059343,-122.144885415,4118445.28179,575876.333318,0
