pixel_ID,lat,lon,population,cf,dir_ratio,cf_category
15018,37.54399416,-122.3108761,3605,1.865495437,1.170380071,1
15019,37.54392756,-122.2995568,3700,2.860490131,1.361552352,3
15020,37.54385987,-122.2882376,3481,3.192528296,1.41536067,4
15021,37.5437911,-122.2769184,2754,3.488045978,1.189040961,4
15022,37.54372124,-122.2655992,2627,3.660578033,1.059935388,4
15023,37.5436503,-122.25428,1351,4.975982123,1.222408473,4
15024,37.54357827,-122.2429609,1137,2.13669204,1.205945325,2
15025,37.54350515,-122.2316419,1086,1.886274924,1.269553728,1
15041,37.54218782,-122.0505429,2335,1.948528983,1.320588224,2
15042,37.54209626,-122.0392246,2856,1.811338797,1.133367163,1
15043,37.54200363,-122.0279064,2875,1.964837509,1.283250328,2
15044,37.5419099,-122.0165882,2309,3.193149922,1.493911658,4
15045,37.5418151,-122.0052701,2360,1.73126407,1.051550792,1
15046,37.5417192,-121.9939521,2743,1.885889372,1.116661132,1
15047,37.54162223,-121.982634,4297,1.667885488,1.077915537,1
15048,37.54152417,-121.9713161,4343,1.940785757,1.20366231,2
15049,37.54142502,-121.9599982,1494,2.629810115,1.773448336,3
15050,37.54132479,-121.9486803,1747,1.77138016,1.2460088,1
15051,37.54122348,-121.9373625,3226,2.243113177,1.189119429,2
15160,37.55313709,-122.3334346,2017,1.845893933,1.058315333,1
15161,37.55307264,-122.3221138,3579,1.479898414,1.062846481,1
15162,37.5530071,-122.3107932,4334,3.467017639,1.566923394,4
15163,37.55294047,-122.2994725,3214,3.213023094,1.683204697,4
15164,37.55287276,-122.2881519,2659,3.905904388,1.383952032,4
15165,37.55280397,-122.2768313,3974,3.265044395,1.504158763,4
15166,37.55273409,-122.2655107,3131,2.111715554,1.246399302,2
15167,37.55266312,-122.2541902,3222,2.089122786,1.509087991,2
15184,37.55129067,-122.0617483,1079,2.554134851,1.633175685,3
15185,37.55120017,-122.0504286,1368,3.064753928,2.087684872,4
15186,37.55110859,-122.039109,1776,2.319355157,1.404429982,2
15187,37.55101592,-122.0277894,2404,3.363583425,1.360435637,4
15188,37.55092217,-122.0164698,3976,2.630496512,1.344995306,3
15189,37.55082733,-122.0051503,5065,1.922658795,1.135965591,2
15190,37.55073141,-121.9938309,4525,2.034089972,1.190409569,2
15191,37.5506344,-121.9825115,5352,1.88272683,1.436171141,1
15192,37.55053631,-121.9711922,4738,2.242190415,1.564901297,2
15193,37.55043713,-121.9598729,1322,4.938634886,1.150903422,4
15194,37.55033687,-121.9485537,1789,2.213162874,1.151893056,2
15195,37.55023552,-121.9372346,1343,2.306670914,1.358565566,2
15303,37.56221345,-122.3446764,1065,1.84247685,1.03579185,1
15304,37.56215006,-122.3333543,2869,1.719914885,1.011574227,1
15305,37.56208559,-122.3220322,5816,1.619163775,1.174033176,1
15306,37.56202002,-122.3107101,3787,2.426726384,1.055477117,3
15307,37.56195338,-122.2993881,3225,3.131296372,1.170654951,4
15308,37.56188565,-122.2880661,3214,3.128043298,1.353471886,4
15309,37.56181683,-122.2767442,4722,2.941266271,1.899887332,3
15310,37.56174693,-122.2654223,2875,2.095892892,1.633962434,2
15311,37.56167594,-122.2541004,2497,3.555084539,1.019985572,4
15328,37.56030304,-122.0616353,1386,3.177248208,1.793241096,4
15329,37.56021251,-122.0503142,4434,3.784674546,1.041645814,4
15330,37.5601209,-122.0389932,2306,4.035710792,1.764960302,4
15331,37.5600282,-122.0276723,3060,2.079578843,1.034050549,2
15332,37.55993442,-122.0163514,3955,2.089981137,1.325946634,2
15333,37.55983955,-122.0050305,2979,2.373133756,1.263022109,3
15334,37.5597436,-121.9937097,2171,2.333679648,1.394183502,2
15335,37.55964656,-121.982389,2836,2.334876533,1.403456316,2
15336,37.55954843,-121.9710683,3424,2.138538553,1.277118422,2
15337,37.55944922,-121.9597477,1716,2.3534954,1.376217301,3
15338,37.55934893,-121.9484271,1011,4.171609959,1.166765993,4
15446,37.57128875,-122.355921,1159,1.62194766,1.012451946,1
15447,37.57122642,-122.3445974,2727,1.568741355,1.230786301,1
15448,37.57116301,-122.333274,4647,1.503659232,1.062858724,1
15449,37.57109852,-122.3219505,6113,1.769648184,1.127533473,1
15450,37.57103294,-122.3106271,3533,2.340568673,1.527506645,3
15451,37.57096627,-122.2993037,1696,4.021615132,1.383578849,4
15453,37.57082967,-122.276657,2145,1.800267374,1.417023752,1
15454,37.57075975,-122.2653338,2032,3.88646113,1.157585338,4
15471,37.56940487,-122.0728447,2814,1.995702082,1.438751094,2
15472,37.5693154,-122.0615222,2013,4.912854107,1.173083183,4
15473,37.56922484,-122.0501998,3240,2.179696106,1.180653413,2
15474,37.5691332,-122.0388774,3047,3.100229694,1.37084997,4
15475,37.56904047,-122.0275551,2517,2.661130033,1.316872274,3
15476,37.56894665,-122.0162329,2069,2.432527117,1.206797594,3
15480,37.56856054,-121.9709443,1211,2.604533315,1.224605665,3
15481,37.5684613,-121.9596223,1640,3.194128982,1.165777394,4
15587,37.58048224,-122.3898182,1321,4.53941337,1.025620043,4
15588,37.58042316,-122.3784932,1860,2.100817818,1.023836978,2
15589,37.58036298,-122.3671683,2099,1.718654976,1.065969265,1
15590,37.58030173,-122.3558433,3406,1.660913946,1.089723153,1
15591,37.58023938,-122.3445184,5259,1.580373203,1.125077765,1
15592,37.58017595,-122.3331936,4386,1.530260177,1.105344327,1
15593,37.58011144,-122.3218688,3667,4.227712442,1.111884242,4
15594,37.58004583,-122.310544,1205,1.188990168,1.012749763,1
15615,37.57841724,-122.0727329,2934,1.70684068,1.059817212,1
15616,37.57832774,-122.0614091,2936,3.327258168,1.056650993,4
15617,37.57823715,-122.0500853,2217,2.63844056,1.558384449,3
15618,37.57814548,-122.0387616,2725,2.178685135,1.174175225,2
15619,37.57805272,-122.0274379,2754,2.216023355,1.277417024,2
15620,37.57795888,-122.0161143,2462,3.436220402,1.132450664,4
15621,37.57786395,-122.0047907,1127,2.967433341,1.069558198,3
15622,37.57776793,-121.9934672,1676,2.125656267,1.245248162,2
15623,37.57767083,-121.9821437,1137,1.965239739,1.339255443,2
15730,37.58955328,-122.401071,1757,2.390706906,1.010135578,3
15731,37.58949526,-122.3897446,2900,1.609778201,1.016917173,1
15732,37.58943616,-122.3784183,3057,1.857656122,1.090927547,1
15733,37.58937597,-122.367092,3445,2.69284895,1.528746005,3
15734,37.58931469,-122.3557657,2005,3.367921688,1.832571527,4
15735,37.58925233,-122.3444394,2203,4.619360979,1.589524494,4
15736,37.58918888,-122.3331132,1204,2.835106211,1.080670166,3
15758,37.58751804,-122.0839464,1594,1.917813244,1.31551397,2
15759,37.58742959,-122.0726211,3664,2.066935897,1.223027985,2
15760,37.58734006,-122.0612959,3136,3.320166125,1.055720287,4
15761,37.58724945,-122.0499708,2980,3.642332173,1.05355044,4
15762,37.58715775,-122.0386457,2520,2.739611267,1.150163906,3
15763,37.58706496,-122.0273207,3564,2.047105599,1.180062727,2
15764,37.58697108,-122.0159957,4332,2.323683733,1.151742475,2
15765,37.58687612,-122.0046707,2652,5.14566681,1.214261336,4
15873,37.59862326,-122.4123266,1281,1.797368467,1.014329406,1
15874,37.59856631,-122.4009988,2889,1.908989174,1.229761366,1
15875,37.59850827,-122.389671,3716,2.152815573,1.230735758,2
15876,37.59844915,-122.3783433,2815,3.757657435,1.368524767,4
15877,37.59838894,-122.3670156,2480,4.039553443,1.786949945,4
15902,37.59653041,-122.0838359,1685,2.231482748,1.132849054,2
15903,37.59644194,-122.0725093,3216,2.69966201,1.350892118,3
